Course Title,Rating,Review,What you will learn
Fashion as Design,4.8,2,
Modern American Poetry,4.4,100,
Pixel Art for Video Games,4.5,227,
Distribución digital de la música independiente,4.8,10,
The Blues: Understanding and Performing an American Art Form,4.8,582,Students will be able to describe the blues as an important musical form. Students will be able to explain differences in jazz and other variations of the blues. 
So You Think You Know Tango?,4.6,107,"Gain an appreciation for the Argentine Tango as a multidimensional art form, including music, dance, and poetry.List the components that make a tango.Eexplore the tango as a living art form today and how it can be used to cross cultural boundaries and stereotypes."
The Politics of Skepticism,4.5,38,
Становлення сучасної України,4.8,10,
Exploring Beethoven's Piano Sonatas Part 4,4.9,63,
悖论：思维的魔方,4.8,39,
拍摄：像剪辑师一样拍摄,4.8,21,
In the Studio: Postwar Abstract Painting,4.9,1,
Philosophy of Science,4.7,208,
Basic Elements of Design: Design Principles and Software Overview,4.7,925,"Recognize ways to work with graphic designers and other creative professionals. Understand the history and design process of the graphic design profession.Compare the concepts of balance, proximity, alignment, repetition, contrast and space.Discover the use of white space to develop shape, form, and structure in graphic projects."
"Online Games: Literature, New Media, and Narrative",4.6,179,
Concept Art for Video Games,4.6,66,
Create your UX portfolio with Adobe Portfolio,4.8,10,In this project you will learn how to create an UX Portfolio with Adobe Portfolio.
The History of Modern Israel -  Part II: Challenges of Israel as a sovereign state,4.8,328,
Shaping Urban Futures,4.7,28,
中国哲学经典著作导读,4.5,267,
Cultura Maya en Yucatán,4.8,10,"Conocerás los aspectos fundamentales de la Cultura Maya, los personajes  históricos así como su arquitectura y sus avances científicos."
Antisemitismo: Desde sus orígenes hasta el presente,4.9,15,A debatir qué es el antisemitismo y qué tiene de únicoA explicar las raíces históricas e ideológicas del antisemitismo y cómo se ha desarrollado ésteA debatir las características del antisemitismo en el presente díaA identificar el lenguaje y las acciones antisemitas en el pasado y en el presente
"Herencia negra, aplicación de ritmos afroperuanos",4.8,10,
Storytelling y medios digitales,4.8,10,
游戏产业概论,3.5,66,
Overcoming  Challenges in Self and Society,4.8,10,
Proyecto final de Músico moderno,4.6,23,
"Internal Displacement, Conflict and Protection",4.9,48,
"Health, Society, and Wellness in COVID-19 Times ",4.6,14,"You will explore perspectives on disease and society and on systemic racism and inequality with scholars across disciplines.You will explore the science and practice of individual and community wellness. You will learn skills relevant to emotions, relationships, common mental health concerns, and learning in the age of Zoom and remote classes. You will learn practices of cooperation, compassion, and anti-racism for community wellness."
Indigenous Canada,4.8,21,
Graphic Design Specialization,4.7,16,"Gain the fundamental skills needed to be a graphic designerCommunicate through image-making and typographyComplete a capstone project to add to your professional portfolioLearn everything you need to know to work in interface design, motion graphics, and editorial design"
UI / UX Design Specialization,4.7,6,
Creative Writing Specialization,4.7,5,
